t_Myr,M_base_Msun,M_rB_up20,M_rB_down20,M_lambdaEdd4
2.841841841841842076e+00,2.141381381381381676e+07,2.567657657657657564e+07,1.715105105105105415e+07,2.851841841841842607e+07
2.858858858858859264e+00,2.154144144144144654e+07,2.582972972972973436e+07,1.725315315315315872e+07,2.868858858858859912e+07
2.875875875875876009e+00,2.166906906906907260e+07,2.598288288288288191e+07,1.735525525525525585e+07,2.885875875875876471e+07
2.892892892892893197e+00,2.179669669669669867e+07,2.613603603603603691e+07,1.745735735735736042e+07,2.902892892892893776e+07
2.909909909909910386e+00,2.192432432432432845e+07,2.628918918918919191e+07,1.755945945945946500e+07,2.919909909909911081e+07
2.926926926926927131e+00,2.205195195195195451e+07,2.644234234234234318e+07,1.766156156156156212e+07,2.936926926926927641e+07
2.943943943943944319e+00,2.217957957957958430e+07,2.659549549549549818e+07,1.776366366366366670e+07,2.953943943943944946e+07
2.960960960960961064e+00,2.230720720720721036e+07,2.674864864864864945e+07,1.786576576576576754e+07,2.970960960960961878e+07
2.977977977977978252e+00,2.243483483483483642e+07,2.690180180180180073e+07,1.796786786786787212e+07,2.987977977977978811e+07
2.994994994994995441e+00,2.256246246246246248e+07,2.705495495495495945e+07,1.806996996996997297e+07,3.004994994994996116e+07
3.012012012012012185e+00,2.269009009009008855e+07,2.720810810810810700e+07,1.817207207207207382e+07,3.022012012012012675e+07
3.029029029029029374e+00,2.281771771771771461e+07,2.736126126126126200e+07,1.827417417417417839e+07,3.039029029029029980e+07
3.046046046046046119e+00,2.294534534534534067e+07,2.751441441441441327e+07,1.837627627627627924e+07,3.056046046046046913e+07
3.063063063063063307e+00,2.307297297297297046e+07,2.766756756756756827e+07,1.847837837837838009e+07,3.073063063063063845e+07
3.080080080080080496e+00,2.320060060060060024e+07,2.782072072072072327e+07,1.858048048048048466e+07,3.090080080080081150e+07
3.097097097097097240e+00,2.332822822822822630e+07,2.797387387387387455e+07,1.868258258258258551e+07,3.107097097097097710e+07
3.114114114114114429e+00,2.345585585585585237e+07,2.812702702702702582e+07,1.878468468468468636e+07,3.124114114114115015e+07
3.131131131131131617e+00,2.358348348348348215e+07,2.828018018018018454e+07,1.888678678678679094e+07,3.141131131131132320e+07
3.148148148148148362e+00,2.371111111111110821e+07,2.843333333333333209e+07,1.898888888888889179e+07,3.158148148148148879e+07
3.165165165165165551e+00,2.383873873873873800e+07,2.858648648648648709e+07,1.909099099099099636e+07,3.175165165165166184e+07
3.182182182182182295e+00,2.396636636636636406e+07,2.873963963963963836e+07,1.919309309309309348e+07,3.192182182182183117e+07
3.199199199199199484e+00,2.409399399399399012e+07,2.889279279279279336e+07,1.929519519519519806e+07,3.209199199199200049e+07
3.216216216216216672e+00,2.422162162162161991e+07,2.904594594594594836e+07,1.939729729729730263e+07,3.226216216216217354e+07
3.233233233233233417e+00,2.434924924924924597e+07,2.919909909909909964e+07,1.949939939939940348e+07,3.243233233233233914e+07
3.250250250250250605e+00,2.447687687687687576e+07,2.935225225225225091e+07,1.960150150150150433e+07,3.260250250250251219e+07
